"result_set","dataset","feature_method","clustering_method","k_policy","gate_rule","gate_rule_recorded","seed","n_requested","n_features_realised","gate_n","k_true","k_estimated","k_used_clustering","n_clusters_found","n_cells_total","n_cells_scored","n_cells_dropped","n_cells_unlabelled","difs_stage1_n","difs_stage2_n","difs_ratio_nominal","ARI","FM","Jaccard","Purity","elapsed_sec","source_file","baron_repaired","ARI_before_repair","source_result_set","is_analysis_row"
"ncurve","Baron","FEAST","Refined Louvain","true","submitted",TRUE,1,2500,2500,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.518426354405341,0.622013727751196,0.406835124177643,0.934064651651301,159.038,"Baron_FEAST_Refined Louvain_n2500_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,0,1940,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.189266049382303,0.35183627856934,0.127973961003437,0.969424670323258,3084.892,"Baron_FEAST_SC3_n0000_k-estimated_g-submitted_seed-1.rds",TRUE,0.185158308396229,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,0,1940,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.533510083630602,0.62810257317741,0.425206034814927,0.896837437273894,1541.187,"Baron_FEAST_SC3_n0000_k-true_g-submitted_seed-1.rds",TRUE,0.536350394307651,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,100,100,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.180397497619408,0.336122365980694,0.123354241410278,0.930680359435173,3019.018,"Baron_FEAST_SC3_n0100_k-estimated_g-submitted_seed-1.rds",TRUE,0.174939274386022,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,100,100,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.783817694068507,0.826482210158929,0.697695417010082,0.905356517680009,1715.515,"Baron_FEAST_SC3_n0100_k-true_g-submitted_seed-1.rds",TRUE,0.78658713311136,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,200,200,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.156359740338675,0.305967662210279,0.107450601522159,0.906640214727506,2656.949,"Baron_FEAST_SC3_n0200_k-estimated_g-submitted_seed-1.rds",TRUE,0.148213456157802,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,200,200,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.538716381366441,0.637433114395334,0.426710623144408,0.921227681176333,1351.549,"Baron_FEAST_SC3_n0200_k-true_g-submitted_seed-1.rds",TRUE,0.539545318310701,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,300,300,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.174382816544917,0.333409836068437,0.118033080996471,0.954837203874431,2279.368,"Baron_FEAST_SC3_n0300_k-estimated_g-submitted_seed-1.rds",TRUE,0.169273909808917,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,300,300,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.633047876135809,0.711208328373563,0.522526096768472,0.921227681176333,1370.11,"Baron_FEAST_SC3_n0300_k-true_g-submitted_seed-1.rds",TRUE,0.627684141694525,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,500,500,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.149874849754905,0.304189130166976,0.101298630577815,0.957054498774653,2660.496,"Baron_FEAST_SC3_n0500_k-estimated_g-submitted_seed-1.rds",TRUE,0.14713095811226,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,500,500,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.569955008113833,0.661913737768337,0.457532462464384,0.924728673124052,1384.011,"Baron_FEAST_SC3_n0500_k-true_g-submitted_seed-1.rds",TRUE,0.57011623914092,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,750,750,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.180398330784322,0.340443165674104,0.122160031901232,0.955887501458747,5792.386,"Baron_FEAST_SC3_n0750_k-estimated_g-submitted_seed-1.rds",TRUE,0.175204627100869,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,750,750,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.570105091505759,0.66170443494313,0.457888623326643,0.92437857392928,1330.709,"Baron_FEAST_SC3_n0750_k-true_g-submitted_seed-1.rds",TRUE,0.571054116002889,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,1000,1000,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.188553467295583,0.350139361693234,0.127707790281469,0.962305986696231,2726.876,"Baron_FEAST_SC3_n1000_k-estimated_g-submitted_seed-1.rds",TRUE,0.183999581196077,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,1000,1000,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.56993986624065,0.661526083206991,0.457754445153715,0.925195472050414,1681.896,"Baron_FEAST_SC3_n1000_k-true_g-submitted_seed-1.rds",TRUE,0.57847580962621,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,1500,1500,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.181387082879269,0.343675907288919,0.122306620814242,0.968374372738943,2758.458,"Baron_FEAST_SC3_n1500_k-estimated_g-submitted_seed-1.rds",TRUE,0.174797493017614,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,1500,1500,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.535448780855018,0.630020701214132,0.426793097074943,0.897537635663438,1658.996,"Baron_FEAST_SC3_n1500_k-true_g-submitted_seed-1.rds",TRUE,0.536637022686614,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","estimated","submitted",TRUE,1,2500,2500,1940,14,66,66,66,8569,8569,0,0,NA,NA,NA,0.187087552697274,0.34937360788605,0.126459242210163,0.964406581864862,2576.476,"Baron_FEAST_SC3_n2500_k-estimated_g-submitted_seed-1.rds",TRUE,0.182701015742142,"baronfix",TRUE
"ncurve","Baron","FEAST","SC3","true","submitted",TRUE,1,2500,2500,1940,14,66,14,14,8569,8569,0,0,NA,NA,NA,0.540422878763648,0.634122534542642,0.43150567226403,0.906873614190687,1687.282,"Baron_FEAST_SC3_n2500_k-true_g-submitted_seed-1.rds",TRUE,0.542323126843668,"baronfix",TRUE
"ncurve","Baron","GateOnly","Refined Louvain","estimated","submitted",TRUE,1,0,1940,1940,14,66,66,37,8569,8569,0,NA,NA,NA,NA,0.241184100743162,0.397628486314278,0.167760767138331,0.926945968024274,114.485,"Baron_GateOnly_Refined Louvain_n0000_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","GateOnly","Refined Louvain","true","submitted",TRUE,1,0,1940,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.498550282917641,0.60451813806729,0.389068882848165,0.912125102112265,144.828,"Baron_GateOnly_Refined Louvain_n0000_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","GateOnly","Refined Louvain","estimated","submitted",TRUE,1,100,100,1940,14,66,66,25,8569,8569,0,NA,NA,NA,NA,0.219212335218694,0.353771826375994,0.161263820549946,0.802427354417085,158.448,"Baron_GateOnly_Refined Louvain_n0100_k-estimated_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
"ncurve","Baron","GateOnly","Refined Louvain","true","submitted",TRUE,1,100,100,1940,14,66,14,14,8569,8569,0,NA,NA,NA,NA,0.345754689463575,0.462278267092742,0.267430959320715,0.785739292799627,152.215,"Baron_GateOnly_Refined Louvain_n0100_k-true_g-submitted_seed-1.rds",FALSE,NA,"ncurve",TRUE
