"dataset","feature_method","clustering_method","k_policy","n_requested","n_features_realised","value","baron_repaired"
"Darmanis","FEAST","Refined Louvain","true",0,2346,0.774678111587983,FALSE
"Darmanis","GateOnly","Refined Louvain","true",0,2346,0.830472103004292,FALSE
"Darmanis","Seurat","Refined Louvain","true",0,2346,0.8068669527897,FALSE
"Darmanis","Variance","Refined Louvain","true",0,2346,0.821888412017167,FALSE
"Darmanis","DIFS","SC3","true",0,2346,0.832618025751073,FALSE
"Darmanis","FEAST","SC3","true",0,2346,0.82618025751073,FALSE
"Darmanis","GateOnly","SC3","true",0,2346,0.793991416309013,FALSE
"Darmanis","Seurat","SC3","true",0,2346,0.824034334763948,FALSE
"Darmanis","Variance","SC3","true",0,2346,0.836909871244635,FALSE
"Darmanis","DIFS","Refined Louvain","true",100,100,0.781115879828326,FALSE
"Darmanis","FEAST","Refined Louvain","true",100,100,0.650214592274678,FALSE
"Darmanis","GateOnly","Refined Louvain","true",100,100,0.753218884120172,FALSE
"Darmanis","Seurat","Refined Louvain","true",100,100,0.757510729613734,FALSE
"Darmanis","Variance","Refined Louvain","true",100,100,0.854077253218884,FALSE
"Darmanis","DIFS","SC3","true",100,100,0.804721030042919,FALSE
"Darmanis","FEAST","SC3","true",100,100,0.63519313304721,FALSE
"Darmanis","GateOnly","SC3","true",100,100,0.785407725321888,FALSE
"Darmanis","Seurat","SC3","true",100,100,0.727467811158798,FALSE
"Darmanis","Variance","SC3","true",100,100,0.815450643776824,FALSE
"Darmanis","DIFS","Refined Louvain","true",200,200,0.785407725321888,FALSE
"Darmanis","FEAST","Refined Louvain","true",200,200,0.817596566523605,FALSE
"Darmanis","GateOnly","Refined Louvain","true",200,200,0.813304721030043,FALSE
"Darmanis","Seurat","Refined Louvain","true",200,200,0.748927038626609,FALSE
"Darmanis","Variance","Refined Louvain","true",200,200,0.847639484978541,FALSE
"Darmanis","DIFS","SC3","true",200,200,0.832618025751073,FALSE
"Darmanis","FEAST","SC3","true",200,200,0.748927038626609,FALSE
"Darmanis","GateOnly","SC3","true",200,200,0.772532188841202,FALSE
"Darmanis","Seurat","SC3","true",200,200,0.748927038626609,FALSE
"Darmanis","Variance","SC3","true",200,200,0.789699570815451,FALSE
"Darmanis","DIFS","Refined Louvain","true",300,300,0.804721030042919,FALSE
"Darmanis","FEAST","Refined Louvain","true",300,300,0.817596566523605,FALSE
"Darmanis","GateOnly","Refined Louvain","true",300,300,0.821888412017167,FALSE
"Darmanis","Seurat","Refined Louvain","true",300,300,0.809012875536481,FALSE
"Darmanis","Variance","Refined Louvain","true",300,300,0.830472103004292,FALSE
"Darmanis","DIFS","SC3","true",300,300,0.841201716738197,FALSE
"Darmanis","FEAST","SC3","true",300,300,0.811158798283262,FALSE
"Darmanis","GateOnly","SC3","true",300,300,0.821888412017167,FALSE
"Darmanis","Seurat","SC3","true",300,300,0.774678111587983,FALSE
"Darmanis","Variance","SC3","true",300,300,0.793991416309013,FALSE
"Darmanis","DIFS","Refined Louvain","true",500,500,0.78755364806867,FALSE
"Darmanis","FEAST","Refined Louvain","true",500,500,0.824034334763948,FALSE
"Darmanis","GateOnly","Refined Louvain","true",500,500,0.785407725321888,FALSE
"Darmanis","Seurat","Refined Louvain","true",500,500,0.8068669527897,FALSE
"Darmanis","Variance","Refined Louvain","true",500,500,0.830472103004292,FALSE
"Darmanis","DIFS","SC3","true",500,500,0.821888412017167,FALSE
"Darmanis","FEAST","SC3","true",500,500,0.821888412017167,FALSE
"Darmanis","GateOnly","SC3","true",500,500,0.82618025751073,FALSE
"Darmanis","Seurat","SC3","true",500,500,0.813304721030043,FALSE
"Darmanis","Variance","SC3","true",500,500,0.798283261802575,FALSE
"Darmanis","DIFS","Refined Louvain","true",750,750,0.813304721030043,FALSE
"Darmanis","FEAST","Refined Louvain","true",750,750,0.793991416309013,FALSE
"Darmanis","GateOnly","Refined Louvain","true",750,750,0.78755364806867,FALSE
"Darmanis","Seurat","Refined Louvain","true",750,750,0.798283261802575,FALSE
"Darmanis","Variance","Refined Louvain","true",750,750,0.824034334763948,FALSE
"Darmanis","DIFS","SC3","true",750,750,0.832618025751073,FALSE
"Darmanis","FEAST","SC3","true",750,750,0.830472103004292,FALSE
"Darmanis","GateOnly","SC3","true",750,750,0.802575107296137,FALSE
"Darmanis","Seurat","SC3","true",750,750,0.815450643776824,FALSE
"Darmanis","Variance","SC3","true",750,750,0.824034334763948,FALSE
"Darmanis","DIFS","Refined Louvain","true",1000,1000,0.809012875536481,FALSE
"Darmanis","FEAST","Refined Louvain","true",1000,1000,0.802575107296137,FALSE
"Darmanis","GateOnly","Refined Louvain","true",1000,1000,0.789699570815451,FALSE
"Darmanis","Seurat","Refined Louvain","true",1000,1000,0.84549356223176,FALSE
"Darmanis","Variance","Refined Louvain","true",1000,1000,0.824034334763948,FALSE
"Darmanis","DIFS","SC3","true",1000,1000,0.800429184549356,FALSE
"Darmanis","FEAST","SC3","true",1000,1000,0.856223175965665,FALSE
"Darmanis","GateOnly","SC3","true",1000,1000,0.804721030042919,FALSE
"Darmanis","Seurat","SC3","true",1000,1000,0.817596566523605,FALSE
"Darmanis","Variance","SC3","true",1000,1000,0.832618025751073,FALSE
"Darmanis","DIFS","Refined Louvain","true",1500,1500,0.809012875536481,FALSE
"Darmanis","FEAST","Refined Louvain","true",1500,1500,0.800429184549356,FALSE
"Darmanis","GateOnly","Refined Louvain","true",1500,1500,0.834763948497854,FALSE
"Darmanis","Seurat","Refined Louvain","true",1500,1500,0.793991416309013,FALSE
"Darmanis","Variance","Refined Louvain","true",1500,1500,0.856223175965665,FALSE
"Darmanis","DIFS","SC3","true",1500,1500,0.830472103004292,FALSE
"Darmanis","FEAST","SC3","true",1500,1500,0.836909871244635,FALSE
"Darmanis","GateOnly","SC3","true",1500,1500,0.793991416309013,FALSE
"Darmanis","Seurat","SC3","true",1500,1500,0.809012875536481,FALSE
"Darmanis","Variance","SC3","true",1500,1500,0.839055793991416,FALSE
